# Activation Energy Barrier from Garrod 2013 Table3                                            EA       width
NH2         C2H6        *           NH3         C2H5        *           *           *        5340         1.0
NH2         C3H4        *           NH3         C3H3        *           *           *        2200         1.0
NH2         C3H6        *           NH3         C3H5        *           *           *        2160         1.0
NH2         C3H8        *           NH3         C3H7        *           *           *        4730         1.0
NH2         CH2NH       *           NH3         H2CN        *           *           *        1200         1.0
NH2         CH3NH2      *           NH3         CH2NH2      *           *           *        2990         1.0
NH2         CH3CN       *           NH3         CH2CN       *           *           *        2730         1.0
NH2         C2H5CN      *           NH3         C2H4CN      *           *           *        2690         1.0
NH2         C3H7CN      *           NH3         C3H6CN      *           *           *        2690         1.0
NH2         NH2CH2CN    *           NH3         NHCH2CN     *           *           *        2690         1.0
NH2         NH2OH       *           NH3         HNOH        *           *           *        2690         1.0
NH2         N2H4        *           NH3         NH2NH       *           *           *        2690         1.0
NH2         NH2OCH3     *           NH3         HNOCH3      *           *           *        2690         1.0
NH2         NH2CH2OH    *           NH3         HNCH2OH     *           *           *        2690         1.0
NH2         NH2CONH2    *           NH3         NH2CONH     *           *           *        2690         1.0
NH2         NH2COOH     *           NH3         HNCOOH      *           *           *        2690         1.0
NH2         CH3OCONH2   *           NH3         CH3OCONH    *           *           *        2690         1.0
NH2         HOCH2CONH2  *           NH3         HOCH2CONH   *           *           *        2690         1.0
NH2         NH2COCHO    *           NH3         HNCOCHO     *           *           *        2690         1.0
NH2         CH3CONH2    *           NH3         CH3CONH     *           *           *        2690         1.0
NH2         NH2CH2COOH  *           NH3         HNCH2COOH   *           *           *        2690         1.0
NH2         C2H5COOH    *           NH3         C2H4COOH    *           *           *        2690         1.0
NH2         NH2C2H5     *           NH3         NH2C2H4     *           *           *        2690         1.0
NH2         NH2CH2CHO   *           NH3         NH2CH2CO    *           *           *        2400         1.0
NH2         NH2CH2CHO   *           NH3         HNCH2CHO    *           *           *        2690         1.0
NH2         CH3COOH     *           NH3         CH2COOH     *           *           *        2690         1.0
NH2         C2H5OH      *           NH3         C2H5O       *           *           *        4080         1.0
O           CO          *           CO2         *           *           *           *        1000        1.27
OH          CH3OH       *           CH2OH       H2O         *           *           *         359         1.0
OH          CH3OH       *           CH3O        H2O         *           *           *         852         1.0
OH          CH3CHO      *           H2O         CH3CO       *           *           *         600         1.0
OH          CO          *           CO2         H           *           *           *          80         1.0
OH          CO          *           COOH        *           *           *           *        2500         1.0
OH          HCOOCH3     *           H2O         CH3OCO      *           *           *         600         1.0
OH          HCOOCH3     *           H2O         HCOOCH2     *           *           *        1000         1.0
OH          HCOOH       *           H2O         COOH        *           *           *        1000         1.0
OH          NH2CHO      *           H2O         NH2CO       *           *           *         600         1.0
OH          NH2CHO      *           H2O         HNCHO       *           *           *         591         1.0
OH          CH2(OH)CHO  *           H2O         CH2(OH)CO   *           *           *         600         1.0
OH          HNCO        *           H2O         OCN         *           *           *        1290         1.0
OH          CH4         *           H2O         CH3         *           *           *        1780         1.0
OH          NH3         *           H2O         NH2         *           *           *         925         1.0
OH          C2H2        *           H2O         C2H         *           *           *        5280         1.0
OH          C2H4        *           H2O         C2H3        *           *           *        2990         1.0
OH          C2H5CHO     *           H2O         C2H5CO      *           *           *         600         1.0
OH          C2H6        *           H2O         C2H5        *           *           *        1000         1.0
OH          C3H4        *           H2O         C3H3        *           *           *         650         1.0
OH          C3H6        *           H2O         C3H5        *           *           *         730         1.0
OH          C3H8        *           H2O         C3H7        *           *           *        1310         1.0
OH          CH2NH       *           H2O         H2CN        *           *           *         591         1.0
OH          CH3NH2      *           H2O         CH2NH2      *           *           *        1000         1.0
OH          CH3CN       *           H2O         CH2CN       *           *           *        1030         1.0
OH          C2H3CN      *           H2O         C2H2CN      *           *           *        4000         1.0
OH          C2H5CN      *           H2O         C2H4CN      *           *           *        1000         1.0
OH          C3H7CN      *           H2O         C3H6CN      *           *           *        1000         1.0
OH          NH2CH2CN    *           H2O         NHCH2CN     *           *           *         591         1.0
OH          NH2OH       *           H2O         HNOH        *           *           *        2140         1.0
OH          N2H4        *           H2O         NH2NH       *           *           *         591         1.0
OH          NH2OCH3     *           H2O         HNOCH3      *           *           *         591         1.0
OH          NH2CH2OH    *           H2O         HNCH2OH     *           *           *         591         1.0
OH          NH2CONH2    *           H2O         NH2CONH     *           *           *         591         1.0
OH          NH2COOH     *           H2O         HNCOOH      *           *           *         591         1.0
OH          CH3OCONH2   *           H2O         CH3OCONH    *           *           *         591         1.0
OH          HOCH2CONH2  *           H2O         HOCH2CONH   *           *           *         591         1.0
OH          NH2COCHO    *           H2O         HNCOCHO     *           *           *         591         1.0
OH          CH3CONH2    *           H2O         CH3CONH     *           *           *         591         1.0
OH          NH2CH2COOH  *           H2O         HNCH2COOH   *           *           *         591         1.0
OH          CH3CH2COOH  *           H2O         C2H4COOH    *           *           *        1000         1.0
OH          NH2C2H5     *           H2O         NH2C2H4     *           *           *        1000         1.0
OH          NH2CH2CHO   *           H2O         NH2CH2CO    *           *           *         600         1.0
OH          NH2CH2CHO   *           H2O         HNCH2CHO    *           *           *         591         1.0
OH          CH3COOH     *           H2O         CH2COOH     *           *           *        1000         1.0
OH          C2H5OH      *           H2O         C2H5O       *           *           *        1510         1.0
